QUALIFICATION,Category
+12 Science ,2
साक्षर ,Under SLC
११,2
एम.बि.बि.एस,Bachelor
एस.एल.सी. उतिर्ण,SLC
१०+२ पास,2
एस. एल.सी. नेपाल,SLC
स्‍नातक (बि.ई),Bachelor
डिप्लोमा सिभिल ईन्जिनियर,2
राजनितिक शास्त्रमा  स्नातोक्तर (एल.एल.बी.),Masters
प्रवोनता प्रमाण पत्र तह,2
Diploma in Pharmachy,2
आठ कक्षा पास मात्र,Under SLC
५ पास,Under SLC
५,Under SLC
एस. एल.सी.,SLC
समान्य,Under SLC
एस एल सी ,SLC
वैचलर,Bachelor
B.E. / M.A.,Masters
आधारभुत शिक्षा,Under SLC
एम फिल / पिएचडी अध्ययनरत,Masters
आय एस सी ,2
सनातक,Bachelor
२,2
मास्टर,Masters
‍B.B.S.,Bachelor
p.hd.,PHD
एम.ए राजनितिशास्त्र ,Masters
बी.एड,Bachelor
s.L.C.,SLC
माष्टर डिग्री ,Masters
एमएड,Masters
MA/BL,Masters
नर्सिङ,2
HSEB,2
10 कक्षा,SLC
master,Masters
कक्षा १० पास,SLC
MS,Masters
दिक्षीत ,Under SLC
ISC/AHM,2
T.S.L.C,SLC
स्नातक(व्यवस्थापन),Bachelor
बिध्यावारिधी,PHD
slc पास,SLC
प्लस टु पास,2
आठ कक्षा,Under SLC
उच्च मा.वि.,2
स्नाकोत्तर तह,Masters
विएड,Bachelor
MSC/BE Civil,Masters
एसएलसी,SLC
व्याचलर कर्मश,Bachelor
PHD,PHD
DR. MA,PHD
M Pharmacy,Masters
एम.एड. (बि.कम.),Masters
स्‍नातकोत्तर ,Masters
"LLM, CA, MBA, MA (ECO)",Masters
वि.वि.ए. ,Bachelor
एस.एल.सी.+ प्रवीणता प्रमाणपत्र सम्म अध्ययन ,SLC
आठ पास ,Under SLC
दश कक्षा ,SLC
सामान्य ,Under SLC
जनरल मेडिसिन /फार्मेसी,2
एम.वि.वि.एस,Bachelor
एम.ए./वि.एल.,Masters
लेखपढ,Under SLC
विद्यावारिधि,PHD
+२ उत्तीर्ण,2
७ पास,Under SLC
"MBA, ME",Masters
१० पास,SLC
इन्जिनियरिङ्गमा स्नातक,Bachelor
"स्नाकोत्तर (LL.M., MPA)",Masters
"MA., M.Sc.",Masters
आई.कम.,2
स्नातक (आर्युवेद),Bachelor
एम्.फिल. (अन्तर्राष्ट्रिय सम्बन्ध),Masters
प्रविणता पत्र तह,2
12 pass,2
educated,Under SLC
Bsc. Ag.,Bachelor
"MBBS, Master",Masters
IA,2
स्नातक अध्ययनरत,2
स्नताकोत्तर,Masters
स्नातक (बि.कम),Bachelor
२,2
स्नातक वाणिज्य शास्त्र,Bachelor
कक्षा दस पास,SLC
bachelor running,Bachelor
"M. PHIL Economics, BBA LLB",Masters
BA LLB,Bachelor
१०,SLC
बी.एल,Bachelor
Diploma in Electronics Engineering,2
Master Degree,Masters
PCL,2
आधारभूत,Under SLC
I. Com,2
Intermediate in commerce,2
BA LLB ,Bachelor
Phd Doctor,PHD
एल एल एम/ एम ए,Masters
एम.बि.ए,Masters
स्नातकोत्तर(एम.पि.ए.),Masters
एम.बि.एस. अध्ययन,Bachelor
10 कक्षा उर्तीण,SLC
आई.ए. उत्तीर्ण,2
7 कक्षा ,Under SLC
एस.एल.सी. उत्तीर्ण,SLC
10+2 ,2
मा. वि.,SLC
7 pass ,Under SLC
मा.वि.,SLC
स्नातकतह,Bachelor
कक्षा 9,Under SLC
८,Under SLC
12,2
आई.कम,2
एस.एस.सि.,SLC
Masters,Masters
masters,Masters
bachelor in engineering ,Bachelor
Mphil,Masters
स्नातकोत्तर तह,Masters
एम बि बि एस,Bachelor
8 pass,Under SLC
"B.sc MBBS, MBA",Masters
M.A political science/PHD sclor,Masters
वि इ,Bachelor
M phill,Masters
simple,Under SLC
bachlor,Bachelor
I A,2
MA,Masters
I L,2
BA कम्प्युटर इन्जिनियरिङ ,Bachelor
Engineer,Bachelor
10 pass,SLC
Phd. in Electrical Engineering,PHD
स्नातकोतर,Masters
Computer Engineering,Bachelor
"माष्टर्स डिग्री (एम.बि.एस., एम.ए, LLB)",Masters
आई ए,2
६ कक्षा अध्ययन,Under SLC
१०  पास,SLC
स्‍नातक (बि.डि.एस),Bachelor
स्‍नातक अध्ययन,Bachelor
इन्टरमेडियट,2
एम.ए. राजनितिक सास्त्र बि.एड,Masters
B.ED,Bachelor
इन्टरमिडिएट,2
डिल्लोमा इन्जनियरिङ्ग,2
स्‍नातक ताह,Bachelor
Proficiency Certificate Level (PCL),2
एम.बि.बि.एस.,Bachelor
स्‍नात्तक,Bachelor
BSC in Computing And Information Techn,Bachelor
8 कक्षा,Under SLC
9 class,Under SLC
स्‍नाक्तोर,Masters
Ied,2
"+2, उर्दु",2
१० कक्षा उतिर्ण,SLC
७ कक्षा पास,Under SLC
‍+2,2
I.A.,2
I.A.(+2),2
स्नातकोउत्तर,Masters
B.Sc (Microbiology),Bachelor
उच्च मा वि,2
M.ed,Masters
टेष्ट पास,SLC
#NAME?,
दश पास ,SLC
साधारण लेखपढ ,Under SLC
एस एल सि ,SLC
एस.एल.सि. ,SLC
साधरण लेखपढ ,Under SLC
Intermediate (I.A.),2
Bsc Physics ,Bachelor
Chartered Accountant (M.Com),Masters
"SLC Board of Nepal, +2 HSEB",2
आई.ए. स्सी. फरेष्ट्री,2
बी.ई. (मेकानिकल),Bachelor
BSC (Bachelor in science),Bachelor
५ कक्षा,Under SLC
Islington college BSc hons Compabing,Bachelor
समान्य ,Under SLC
सधारण लेख पढ,Under SLC
समान्य लेखपढ ,Under SLC
स्नातकोत्तर (अर्थ शास्त्र),Masters
सधारण लेखपढ ,Under SLC
प्रविणता प्रमाण पत्र ,2
१० पास ,SLC
12 कक्षा उत्तिण,2
see,SLC
BED,Bachelor
बि. एड.,Bachelor
एम बि ए,Masters
बि. कम.,Bachelor
स्नातकोत्तर ,Masters
बि बि एस र सिए फाइनल,Bachelor
बि एस सी आई टी ,Bachelor
स्‍नातकोतर (M.A),Masters
दश,SLC
सिभिल ईन्जिनियर,Bachelor
स्‍नातकोतर (M.ED),Masters
BBA,Bachelor
"C.A Final, B.com, BBS",Bachelor
7 पास,Under SLC
SKLC,SLC
10 पास,SLC
आइ कम ,2
प्रविणता प्रमाण पत्र political science ,2
IAK CTC,2
पिचडी,PHD
बि ए,Bachelor
सात पास ,Under SLC
बि फार्म,Bachelor
निराक्षर ,Under SLC
विध्यावारिधी,PHD
I Com,2
एसएलसी ,SLC
एमवियस,Masters
डिग्री,Masters
स्नातकोत्तर (कानून),Masters
८ कक्षा उत्तीर्ण,Under SLC
"स्नातकोत्तर, पि.एच.डि स्कलर",Masters
स्नातक रनिङ,Bachelor
सिभिल इन्जिनियरिङ,Bachelor
९,Under SLC
१२ उतिर्ण (बि.बि.एस. चौथो वर्ष रनिङ),2
आइ.ए.,2
आइ एल,2
+ २ उत्तिण,2
कक्षा ६,Under SLC
स्नातकोक्तर,Masters
phd,PHD
म्याट्रिक,SLC
ब्याचलर,Bachelor
पी.एच.डी. स्कलर,Masters
जलस्रोत ईन्जिनियरिङमा डिग्री,Masters
दश कक्षा उत्तीर्ण,SLC
बि.एड.,Bachelor
MA LLB,Masters
8 Pass,Under SLC
8 pass ,Under SLC
Simple,Under SLC
"स्नातकोत्तर, राजनीतिक शास्त्र",Masters
स्वअध्ययन,Under SLC
MSC,Masters
साक्षार,Under SLC
B.L/M.Com (अध्ययनरत),Bachelor
स्नातकोत्तर (अंग्रेजी),Masters
MPA/BL,Masters
एम वि ए,Masters
+2 passed,2
१०,SLC
कानूनमा स्नातक,Bachelor
Bcahelor Of Medicine,Bachelor
आई.ए पास,2
I.com pass,2
प्राथमिक शिक्षा,Under SLC
९ पास.,Under SLC
स्तानतक ,Bachelor
मास्टर्स डिग्री शिक्षा संकाय,Masters
आई ए पास,2
IA pass,2
plus two,2
masters complete,Masters
विद्यावारिधि (पढ्दै),Masters
प्रविणता प्रमाणपत्र स्तर,2
आइ.ए ,2
वि.एल.,Bachelor
बिद्याबारिधी,PHD
M.B.S.,Masters
D.M.,PHD
ATPL,Bachelor
M.ED.,Masters
BDS,Bachelor
अहेव,SLC
MA Economics,Masters
M.BA.,Masters
Bachelor of Medical Engineering,Bachelor
"S.L.C., C.M.A.",SLC
१० कक्षा,SLC
 १० कक्षा,SLC
M.A./B.L,Masters
SLC pass,SLC
10+2 pass,2
स्‍नातकोत्तर तह,Masters
स्‍नातकोत्तर LLM,Masters
सामान्य साक्षर,Under SLC
ISc,2
स्नोकोत्तर,Masters
BE electricals,Bachelor
"बि एससी, एलएलबी (एभो)",Bachelor
एमबिइ एच,Masters
नौ कक्षा,Under SLC
एमए उर्दु,Masters
उच्च माध्यमिक तह,2
आईए,2
बिए,Bachelor
बी.एस.सी.इलेक्ट्रिकल,Bachelor
वि.एस.सी.,Bachelor
वि.एस.सी.व.एल,Bachelor
पाँच कक्षा पास,Under SLC
अन्डर slc,Under SLC
माध्यमिक शिक्षा परिषद उत्तर प्रदेश,SLC
आधारभूत तह,Under SLC
5,Under SLC
स्‍नातोकत्तर,Masters
S.L.C pass,SLC
B.L.,Bachelor
मास्टर्स ,Masters
एस.ई.ई,SLC
‍+2 पास,2
बी.ए.,Bachelor
"M.A., Bad",Masters
स्नातक पास,Bachelor
वि.एस्सी. (एजी),Bachelor
आधारभुत तह उत्तिर्ण,Under SLC
SLC पास (O लेभल र A लेभल),2
विद्यावारीधी,PHD
स्नातकोत्तर (राजनीतिक शास्त्र),Masters
६ कक्षा पास,Under SLC
सात पास,Under SLC
आइकम (I.com),2
आई.एल.,2
८,Under SLC
स्तानकोत्तर,Masters
MA Economics MA Political Science,Masters
एम.फिल.,Masters
I.ED.,2
"MA, LLB, BSC",Masters
एम.ए. (राजनितिशास्त्र),Masters
B.Com पास,Bachelor
कक्षा १० उत्तिर्ण,SLC
‌‌+२ पास,2
प्रा.वि.,Under SLC
८ कक्षा उत्तिर्ण,Under SLC
IA पास,2
SLC उत्तिर्ण,SLC
‌+२ पास,2
I.A Pass +2,2
tslc,SLC
आइ.ए,2
आइ.एड,2
स्नातक  तह,Bachelor
स्नातक राजनितिक रास्त्र,Bachelor
प्रमानपत्र तह,2
med,Masters
10+2 पास,2
bed pass,Bachelor
m. a pass ,Masters
test पास,SLC
I.ed pass ,2
B.ed pass ,Bachelor
12 pass ,2
आइए,2
एमफिल,Masters
M.Ed.,Masters
B.Com,Bachelor
S.L.C ,SLC
३ कक्षा पास,Under SLC
S.L.C. pass,SLC
स्नातकत्तोर,Masters
आई एल अध्ययन,SLC
‌आईएड पास,2
‌‌+2 pass,2
स्नातक तह उत्तीर्ण,Bachelor
12 उत्तीर्ण,2
दश कक्षा अनुर्तिर्ण,Under SLC
अण्डर एस एल सी,Under SLC
आइ ए पास,2
9 कक्षा उत्तिर्ण,Under SLC
PCL(+2),2
BACHELOR,Bachelor
slc ,SLC
B com,Bachelor
"विद्यावारिधि, वि.एल.",PHD
Bachelor ,Bachelor
B.L Pass ,Bachelor
master ,Masters
Bacherlor ,Bachelor
Bachelor pass ,Bachelor
राजनिति शास्त्र एम ए,Masters
एम वि एस,Masters
स्नताक,Bachelor
MA BL,Masters
आईकम पास,2
I ED,2
स्नात्तकोत्तर,Masters
सामान्य लेखपण,Under SLC
बिएल एमपिए एमबिए ,Masters
प्रविणतापत्र तह,2
"भेटनरी,जेटिए",Bachelor
FY Bcom,Bachelor
+2 प्रमाणपत्र तह,2
B Com,Bachelor
विद्यावारिधि (PHD),PHD
MSC yoga and science.,Masters
एम फिल पि एच डि.,PHD
स्नातोकोत्तर,Masters
कक्षा ५ ,Under SLC
आठ कक्षा पास,Under SLC
बी फारमेसी,Bachelor
उच्च शिक्षा ,Bachelor
स्ननातोकोत्तर,Masters
विदया वारिणी,PHD
BSc AG,Bachelor
PHD Scholar,PHD
डिप्लोमा (ओभरसियर्स),2
प्रविणाता प्रमाण पत्र तह,2
एम.ए. समाजशास्त्र,Masters
मास्टर्स डिग्री,Masters
आठ कक्षा उतिर्ण,Under SLC
M.A. Civil sub engeneer,Masters
,
Proficiency Certificate,2
"आई, एल.",2
प्रमाणपत्र तह ,2
UNDER SLC,Under SLC
2,2
Education N/A,
I. A,2
Msc Innovative Technology,Masters
एस एल सी उत्तीर्ण,SLC
बि एल,Bachelor
स्तनातक,Bachelor
बि.बि.एस,Bachelor
माध्यमिक त ह,SLC
स्तात्तकोतर,Masters
10 +2,2
S L C,SLC
एम फिल अंग्रेजी,Masters
वि कम,Bachelor
डिप्लोमा इन आर्टस,2
एम.वि.ए.,Masters
,
आइ.एल.,2
विद्यावारिधी (पिएच.डि.),PHD
