current_candidate_name,current_district,current_constituency_id,election_year,prev_candidate_name,prev_district,prev_constituency_id,prev_votes,prev_result,is_actual_match
महेन्द्र यादव,धनुषा,4,2074,महेन्द्र यादव,धनुषा,4,19991,,TRUE
महेन्द्र यादव,रूपन्देही,3,2074,महेन्द्र यादव,रुपन्देही,3,12536,,
महेन्द्र यादव,धनुषा,4,2074,महेन्द्र यादव,रुपन्देही,3,12536,,
राज किशोर यादव,सिराहा,4,2074,राज किशोर यादव,सिराहा,4,21144,Elected,TRUE
राज किशोर यादव,महोत्तरी,3,2074,राज किशोर यादव,सिराहा,4,21144,Elected,
राज किशोर यादव,सिराहा,4,2074,राज किशोर यादव,महोत्तरी,2,24,,
राज किशोर यादव,महोत्तरी,3,2074,राज किशोर यादव,महोत्तरी,2,24,,
राज कुमार यादव,मोरङ,5,2074,राज कुमार यादव,मोरङ्ग,5,18649,,
राज  कुमार  यादव ,रौतहट,2,2074,राज कुमार यादव,मोरङ्ग,5,18649,,
राज कुमार यादव,पर्सा,3,2074,राज कुमार यादव,मोरङ्ग,5,18649,,
राज  कुमार  यादव ,रौतहट,2,2074,राज कुमार यादव,पर्सा,3,10009,,
राज कुमार यादव,मोरङ,5,2074,राज कुमार यादव,पर्सा,3,10009,,
राज कुमार यादव,पर्सा,3,2074,राज कुमार यादव,पर्सा,3,10009,,TRUE
राज कुमार यादव,पर्सा,3,2074,राजकुमार यादव,धनुषा,4,37,,
राज  कुमार  यादव ,रौतहट,2,2074,राजकुमार यादव,धनुषा,4,37,,
राज कुमार यादव,मोरङ,5,2074,राजकुमार यादव,धनुषा,4,37,,
राज कुमार लिम्‍बु,सुनसरी,1,2074,राज कुमार लिम्‍बु,मोरङ्ग,1,623,,
राज कुमार लिम्‍बु,काठमाडौं,1,2074,राज कुमार लिम्‍बु,मोरङ्ग,1,623,,
राज कुमार लिम्‍बु,काठमाडौं,1,2074,राज कुमार लिम्बु,संखुवासभा,1,191,,
राज कुमार लिम्‍बु,सुनसरी,1,2074,राज कुमार लिम्बु,संखुवासभा,1,191,,
संजय कुमार यादव,रौतहट,1,2074,संजय कुमार यादव,सप्तरी,2,42,,
संजय कुमार यादव,रौतहट,1,2074,संजय कुमार यादव,रौतहट,1,5,,TRUE
